Year,Make,Model,Trim,Body,Transmission,Vin,Region,Condition,Odometer,Color,Interior,Seller,Mmr,Sellingprice,Profit,Profit Margin,Margin Tier,Sale Year,Sale Month,Sale Quarter,Month Label,Saledate
2008,Ford,F-250 Super Duty,XL,Supercab,automatic,1ftsx21y78eb33440,California,2,160866,white,beige,enterprise fm exchange,6525,5700,-825,-14.47368421,Low Margin,2014,12,4,2014-12,Tue Dec 23 2014 13:35:00
2008,Jeep,Liberty,Sport,Suv,automatic,1j8gp28k78w187640,California,,87374,red,—,toyota of orange,7300,6500,-800,-12.30769231,Low Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:15:00
2008,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl38618b063033,California,36,78788,blue,gray,california auto exchange,11450,13250,1800,13.58490566,Medium Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:30:00
2008,Honda,Fit,Sport,Hatchback,manual,jhmgd37608s072670,California,19,98476,blue,black,ahfc/honda lease trust/hvt  inc.,5700,3700,-2000,-54.05405405,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:00:00
2008,Jeep,Patriot,Sport,Suv,automatic,1j8ft28wx8d798946,California,,69178,white,—,fresno chrysler dodge jeep ram,5725,6000,275,4.583333333,Low Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:30:00
2008,Land Rover,Range Rover Sport,HSE,Suv,automatic,salsk25468a161297,California,37,114932,black,black,jaguar land rover north scottsdale,16100,17500,1400,8,Medium Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:30:00
2008,Mercedes-Benz,GL-Class,GL550,Suv,automatic,4jgbf86e98a358630,California,36,74627,black,black,aaero sweet company,21800,23500,1700,7.234042553,Medium Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:15:00
2008,Mitsubishi,Eclipse Spyder,GT,Convertible,manual,4a3al35t38e003003,California,25,78455,gray,gray,california motorsports,7450,8250,800,9.696969697,Medium Margin,2015,1,1,2015-01,Tue Jan 06 2015 12:30:00
2008,Ford,Edge,SEL,Suv,,2fmdk38c28bb23414,California,,95157,blue,—,huntington beach auto buyers,8700,7900,-800,-10.12658228,Low Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:30:00
2008,Kia,Sorento,LX,Suv,automatic,kndjd735285762799,California,19,115801,black,gray,santander consumer,4025,4600,575,12.5,Medium Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:00:00
2008,Mazda,Mazda3,i Touring,Sedan,automatic,jm1bk12f881821752,California,31,164879,black,—,titlemax/wood river,3025,2500,-525,-21,Low Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:30:00
2008,Ford,F-250 Super Duty,XLT,Crew Cab,automatic,1ftsw21r68eb97237,California,36,170079,white,beige,valley kia,13200,14500,1300,8.965517241,Medium Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:00:00
2008,Ford,Expedition,XLT,Suv,automatic,1fmfu15548la32173,California,36,97553,blue,beige,bob baker toyota of lemon grove,9950,8500,-1450,-17.05882353,Low Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:15:00
2008,Mazda,CX-7,Sport,Suv,automatic,jm3er29l580209208,California,3,119493,black,black,tradewinds remarketing,3275,5000,1725,34.5,High Margin,2014,12,4,2014-12,Tue Dec 30 2014 12:30:00
2008,Kia,Rio,LX,Sedan,,knade123186356544,California,19,73113,orange,black,quality acceptance,2775,3300,525,15.90909091,High Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:00:00
2008,Mercedes-Benz,CLK-Class,CLK350,Coupe,automatic,wdbtj56h78f240951,California,35,88502,white,beige,century dealer services corp,10600,11500,900,7.826086957,Medium Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:15:00
2008,Hyundai,Azera,Limited,Sedan,automatic,kmhfc46f18a304282,California,27,111462,white,beige,century dealer services corp,5100,6300,1200,19.04761905,High Margin,2015,1,1,2015-01,Wed Jan 07 2015 12:30:00
